SIFT_0,SIFT_1,SIFT_2,SIFT_3,SIFT_4,SIFT_5,SIFT_6,SIFT_7,SIFT_8,SIFT_9,SIFT_10,SIFT_11,SIFT_12,SIFT_13,SIFT_14,SIFT_15,SIFT_16,SIFT_17,SIFT_18,SIFT_19,SIFT_20,SIFT_21,SIFT_22,SIFT_23,SIFT_24,SIFT_25,SIFT_26,SIFT_27,SIFT_28,SIFT_29,SIFT_30,SIFT_31,SIFT_32,SIFT_33,SIFT_34,SIFT_35,SIFT_36,SIFT_37,SIFT_38,SIFT_39,SIFT_40,SIFT_41,SIFT_42,SIFT_43,SIFT_44,SIFT_45,SIFT_46,SIFT_47,SIFT_48,SIFT_49,SIFT_50,SIFT_51,SIFT_52,SIFT_53,SIFT_54,SIFT_55,SIFT_56,SIFT_57,SIFT_58,SIFT_59,SIFT_60,SIFT_61,SIFT_62,SIFT_63,SIFT_64,SIFT_65,SIFT_66,SIFT_67,SIFT_68,SIFT_69,SIFT_70,SIFT_71,SIFT_72,SIFT_73,SIFT_74,SIFT_75,SIFT_76,SIFT_77,SIFT_78,SIFT_79,SIFT_80,SIFT_81,SIFT_82,SIFT_83,SIFT_84,SIFT_85,SIFT_86,SIFT_87,SIFT_88,SIFT_89,SIFT_90,SIFT_91,SIFT_92,SIFT_93,SIFT_94,SIFT_95,SIFT_96,SIFT_97,SIFT_98,SIFT_99,SIFT_100,SIFT_101,SIFT_102,SIFT_103,SIFT_104,SIFT_105,SIFT_106,SIFT_107,SIFT_108,SIFT_109,SIFT_110,SIFT_111,SIFT_112,SIFT_113,SIFT_114,SIFT_115,SIFT_116,SIFT_117,SIFT_118,SIFT_119,SIFT_120,SIFT_121,SIFT_122,SIFT_123,SIFT_124,SIFT_125,SIFT_126,SIFT_127,Label
12.0,4.0,14.0,12.0,7.0,8.0,2.0,7.0,67.0,3.0,2.0,2.0,4.0,29.0,42.0,121.0,2.0,0.0,0.0,2.0,56.0,113.0,35.0,21.0,4.0,2.0,0.0,1.0,13.0,8.0,2.0,1.0,64.0,10.0,30.0,23.0,15.0,7.0,1.0,8.0,152.0,27.0,8.0,9.0,23.0,39.0,22.0,106.0,33.0,6.0,5.0,41.0,152.0,152.0,20.0,26.0,4.0,6.0,0.0,5.0,58.0,20.0,0.0,0.0,54.0,3.0,1.0,2.0,21.0,47.0,14.0,33.0,152.0,114.0,93.0,64.0,11.0,2.0,2.0,29.0,18.0,30.0,107.0,152.0,123.0,9.0,0.0,1.0,5.0,10.0,8.0,27.0,30.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,37.0,16.0,10.0,10.0,14.0,32.0,36.0,35.0,18.0,5.0,6.0,9.0,20.0,36.0,62.0,33.0,12.0,0.0,0.0,22.0,32.0,3.0,1.0,1.0,2.0,0.0,0.0,flowers
1.0,0.0,4.0,2.0,0.0,0.0,13.0,27.0,44.0,0.0,1.0,0.0,1.0,4.0,11.0,146.0,16.0,0.0,0.0,6.0,64.0,28.0,15.0,63.0,0.0,0.0,1.0,6.0,16.0,2.0,1.0,2.0,25.0,1.0,1.0,5.0,6.0,4.0,29.0,33.0,148.0,8.0,0.0,1.0,19.0,27.0,24.0,148.0,27.0,2.0,1.0,2.0,148.0,119.0,27.0,55.0,3.0,5.0,4.0,3.0,37.0,4.0,0.0,3.0,45.0,14.0,3.0,30.0,15.0,1.0,2.0,2.0,148.0,148.0,13.0,14.0,27.0,5.0,2.0,23.0,39.0,50.0,20.0,72.0,148.0,26.0,3.0,8.0,3.0,2.0,4.0,7.0,52.0,2.0,4.0,58.0,13.0,18.0,3.0,21.0,8.0,0.0,0.0,0.0,68.0,148.0,29.0,9.0,1.0,0.0,0.0,3.0,10.0,44.0,45.0,73.0,55.0,1.0,7.0,34.0,1.0,0.0,2.0,10.0,11.0,1.0,9.0,96.0,flowers
13.0,4.0,10.0,11.0,6.0,17.0,6.0,9.0,75.0,3.0,1.0,2.0,6.0,34.0,34.0,109.0,3.0,2.0,2.0,8.0,68.0,100.0,23.0,16.0,8.0,17.0,2.0,4.0,11.0,5.0,0.0,0.0,61.0,14.0,33.0,35.0,13.0,8.0,0.0,5.0,154.0,31.0,9.0,10.0,23.0,43.0,21.0,84.0,32.0,6.0,4.0,39.0,154.0,154.0,17.0,21.0,6.0,26.0,2.0,7.0,58.0,16.0,0.0,0.0,54.0,3.0,1.0,4.0,23.0,66.0,14.0,30.0,154.0,106.0,81.0,67.0,12.0,3.0,3.0,29.0,17.0,28.0,92.0,154.0,132.0,11.0,0.0,1.0,4.0,18.0,11.0,37.0,30.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,16.0,58.0,13.0,10.0,14.0,13.0,26.0,36.0,37.0,22.0,6.0,9.0,2.0,13.0,30.0,76.0,49.0,23.0,0.0,0.0,12.0,37.0,5.0,3.0,2.0,1.0,0.0,0.0,flowers
14.0,4.0,8.0,11.0,5.0,20.0,9.0,10.0,75.0,3.0,1.0,2.0,7.0,36.0,32.0,102.0,2.0,3.0,3.0,11.0,69.0,95.0,19.0,13.0,6.0,22.0,4.0,4.0,10.0,5.0,0.0,0.0,59.0,16.0,33.0,41.0,12.0,7.0,0.0,4.0,154.0,34.0,9.0,10.0,24.0,47.0,21.0,78.0,29.0,6.0,4.0,36.0,154.0,154.0,16.0,20.0,6.0,30.0,2.0,7.0,56.0,16.0,0.0,0.0,55.0,3.0,2.0,6.0,25.0,71.0,13.0,26.0,154.0,107.0,76.0,68.0,13.0,3.0,3.0,27.0,17.0,28.0,84.0,154.0,138.0,12.0,0.0,1.0,2.0,20.0,13.0,38.0,30.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,18.0,64.0,13.0,9.0,15.0,15.0,25.0,36.0,34.0,23.0,7.0,9.0,1.0,12.0,27.0,82.0,54.0,27.0,0.0,0.0,8.0,39.0,6.0,4.0,2.0,2.0,0.0,0.0,flowers
18.0,5.0,2.0,2.0,1.0,7.0,19.0,12.0,31.0,2.0,1.0,9.0,11.0,36.0,10.0,18.0,63.0,1.0,1.0,3.0,15.0,41.0,27.0,74.0,1.0,6.0,5.0,16.0,44.0,41.0,5.0,1.0,11.0,18.0,33.0,14.0,7.0,19.0,6.0,2.0,103.0,23.0,26.0,75.0,11.0,3.0,1.0,7.0,143.0,24.0,3.0,4.0,44.0,95.0,30.0,75.0,6.0,2.0,1.0,5.0,143.0,143.0,9.0,5.0,3.0,1.0,6.0,6.0,32.0,82.0,7.0,4.0,114.0,9.0,7.0,25.0,24.0,34.0,6.0,40.0,143.0,99.0,57.0,77.0,40.0,16.0,2.0,29.0,9.0,13.0,34.0,143.0,143.0,35.0,1.0,2.0,20.0,1.0,0.0,0.0,15.0,56.0,5.0,9.0,30.0,3.0,1.0,0.0,17.0,70.0,16.0,28.0,40.0,32.0,50.0,68.0,29.0,11.0,1.0,12.0,2.0,15.0,27.0,98.0,28.0,9.0,0.0,0.0,flowers
18.0,6.0,2.0,2.0,1.0,7.0,19.0,13.0,33.0,2.0,2.0,11.0,11.0,35.0,10.0,18.0,67.0,2.0,1.0,3.0,16.0,39.0,24.0,71.0,1.0,7.0,5.0,16.0,46.0,37.0,4.0,1.0,11.0,16.0,35.0,16.0,9.0,22.0,6.0,2.0,105.0,24.0,28.0,81.0,11.0,3.0,1.0,6.0,140.0,24.0,3.0,5.0,46.0,91.0,27.0,72.0,5.0,3.0,1.0,5.0,140.0,140.0,7.0,5.0,3.0,0.0,6.0,7.0,36.0,94.0,7.0,4.0,114.0,9.0,6.0,25.0,26.0,38.0,7.0,45.0,140.0,95.0,55.0,81.0,40.0,15.0,1.0,31.0,8.0,13.0,35.0,140.0,140.0,33.0,1.0,2.0,23.0,1.0,0.0,0.0,18.0,62.0,4.0,8.0,30.0,3.0,1.0,0.0,19.0,76.0,16.0,30.0,39.0,29.0,45.0,69.0,33.0,13.0,2.0,13.0,2.0,17.0,26.0,93.0,29.0,11.0,0.0,0.0,flowers
26.0,3.0,2.0,3.0,2.0,7.0,10.0,19.0,25.0,3.0,4.0,10.0,7.0,34.0,15.0,18.0,77.0,2.0,1.0,2.0,12.0,27.0,19.0,84.0,2.0,7.0,8.0,16.0,48.0,37.0,6.0,5.0,14.0,7.0,18.0,15.0,15.0,46.0,9.0,5.0,82.0,26.0,41.0,75.0,14.0,6.0,1.0,5.0,140.0,32.0,6.0,7.0,31.0,59.0,22.0,71.0,10.0,4.0,2.0,12.0,140.0,135.0,10.0,9.0,3.0,0.0,1.0,5.0,37.0,115.0,11.0,4.0,92.0,7.0,6.0,20.0,43.0,89.0,16.0,39.0,140.0,85.0,56.0,76.0,22.0,7.0,3.0,34.0,10.0,15.0,49.0,140.0,128.0,19.0,1.0,1.0,33.0,6.0,0.0,0.0,9.0,54.0,8.0,11.0,16.0,1.0,0.0,0.0,22.0,127.0,28.0,24.0,31.0,18.0,28.0,52.0,42.0,28.0,10.0,20.0,2.0,17.0,28.0,86.0,47.0,24.0,0.0,0.0,flowers
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,17.0,10.0,0.0,0.0,0.0,0.0,13.0,39.0,5.0,137.0,14.0,3.0,1.0,0.0,2.0,3.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,137.0,10.0,2.0,3.0,2.0,17.0,128.0,137.0,17.0,4.0,2.0,16.0,49.0,137.0,137.0,49.0,121.0,42.0,8.0,3.0,15.0,76.0,17.0,8.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,137.0,137.0,42.0,21.0,3.0,5.0,10.0,45.0,23.0,49.0,72.0,137.0,87.0,70.0,16.0,11.0,10.0,11.0,6.0,23.0,59.0,59.0,4.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,61.0,117.0,19.0,2.0,0.0,0.0,0.0,1.0,8.0,48.0,73.0,40.0,1.0,0.0,0.0,0.0,1.0,6.0,15.0,16.0,14.0,4.0,1.0,1.0,flowers
33.0,25.0,0.0,0.0,3.0,2.0,0.0,2.0,82.0,114.0,4.0,0.0,0.0,1.0,10.0,43.0,17.0,129.0,52.0,0.0,0.0,6.0,19.0,15.0,19.0,129.0,39.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,0.0,0.0,5.0,8.0,0.0,9.0,129.0,46.0,9.0,2.0,2.0,10.0,31.0,129.0,22.0,28.0,20.0,27.0,45.0,84.0,55.0,35.0,9.0,129.0,35.0,8.0,14.0,8.0,3.0,0.0,24.0,17.0,1.0,0.0,9.0,8.0,0.0,1.0,102.0,129.0,108.0,4.0,2.0,2.0,1.0,5.0,61.0,76.0,129.0,58.0,26.0,9.0,6.0,26.0,21.0,14.0,11.0,19.0,26.0,28.0,42.0,34.0,0.0,1.0,0.0,0.0,5.0,8.0,0.0,0.0,6.0,25.0,21.0,0.0,6.0,8.0,0.0,0.0,117.0,114.0,42.0,1.0,0.0,0.0,2.0,15.0,34.0,44.0,87.0,90.0,24.0,11.0,10.0,18.0,flowers
4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,56.0,4.0,0.0,0.0,0.0,7.0,25.0,7.0,49.0,43.0,0.0,0.0,0.0,37.0,22.0,3.0,56.0,40.0,0.0,0.0,1.0,26.0,6.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,113.0,9.0,0.0,0.0,0.0,3.0,68.0,132.0,12.0,3.0,1.0,0.0,5.0,88.0,132.0,82.0,1.0,4.0,1.0,0.0,10.0,52.0,64.0,6.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,132.0,21.0,0.0,0.0,0.0,4.0,15.0,132.0,64.0,6.0,0.0,0.0,44.0,132.0,33.0,38.0,0.0,0.0,0.0,0.0,54.0,132.0,1.0,0.0,92.0,25.0,0.0,0.0,0.0,0.0,0.0,34.0,132.0,123.0,19.0,0.0,0.0,2.0,10.0,132.0,12.0,31.0,39.0,7.0,47.0,67.0,18.0,25.0,0.0,0.0,7.0,7.0,81.0,78.0,0.0,0.0,flowers
